Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;;;;

Vlaardingen;Ries Anema;06-78364496;RiesAnema@armyspy.com;Aletta Jacobskade 139;Vlaardingen;dinsdag 12 maart 2019;Bezorgen;dinsdag 12 maart 2019;19:36;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;€ 2,00;4;;€ 0,00;€ 43,80;€ 118,05;;€ 0,00;€ 118,05
;;;;;;;;;;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;1;Chorizo, Kaasmix, Beenham, Honing Mosterdsaus;€ 4,50;€ 16,45;;;;
;;;;;;;;;;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;2;Bacon;€ 1,00;€ 31,90;;;;

Groningen Boterdiep;Şerife Rodijk;06-29809184;SerifeRodijk@armyspy.com;Witte de Withstraat 87;Groningen;woensdag 3 juli 2019;Afhalen;woensdag 3 juli 2019;18:48;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 33,85;2e pizza gratis bij afhalen;€ 7,95;€ 25,90
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 9,95;;;;

Utrecht Adelaarstraat;Ananda Treep;06-47430518;AnandaTreep@einrot.com;Bataviastraat 6;Utrecht;maandag 4 maart 2019;Afhalen;maandag 4 maart 2019;18:58;Caprese;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;€ 30,75;;€ 0,00;€ 30,75
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;;;;

Rijswijk;Mady Wagenvoort;06-39819707;MadyWagenvoort@teleworm.us;Jacob Cornelis van Markenlaan 171;Rijswijk;woensdag 15 augustus 2018;Bezorgen;woensdag 15 augustus 2018;16:40;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;€ 85,60;;€ 0,00;€ 85,60
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Den Bosch;Keisha Huibers;06-19646259;KeishaHuibers@teleworm.us;Smalle Haven 94;s-Hertogenbosch;woensdag 8 augustus 2018;Bezorgen;woensdag 8 augustus 2018;19:58;Funghi;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 56,75;3e pizza gratis bij bezorgen;€ 6,95;€ 49,80
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Dordrecht Van Oldenbarneveltplein;Arjan van der Vlies;06-83118699;ArjanvanderVlies@rhyta.com;Richard Holstraat 100;Dordrecht;vrijdag 2 november 2018;Afhalen;vrijdag 2 november 2018;16:28;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;€ 65,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 63,70
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Rotterdam Zuidplein;Amer Knippenberg;06-88273026;AmerKnippenberg@jourrapide.com;Hortensiastraat 136;Rotterdam;maandag 13 mei 2019;Bezorgen;maandag 13 mei 2019;20:41;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;€ 58,75;;€ 0,00;€ 58,75
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;Kip;€ 1,00;€ 8,95;;;;
;;;;;;;;;;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Rotterdam Mariniersweg;Jorit Tiehuis;06-16215430;JoritTiehuis@fleckens.hu;Groene Tuin 151;Rotterdam;maandag 20 augustus 2018;Afhalen;maandag 20 augustus 2018;18:31;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 54,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 52,70
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;;2;Ham, Honing Mosterdsaus;€ 1,50;€ 14,90;;;;

Den Haag Goudenregenplein;Lani Buitenhuis;06-55607642;LaniBuitenhuis@armyspy.com;Spica 150;Veldhoven;zondag 19 november 2017;Afhalen;zondag 19 november 2017;16:07;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;€ 24,85;;€ 0,00;€ 24,85
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;

Amstelveen;Resul Bastiaanse;06-61629707;ResulBastiaanse@jourrapide.com;Van Heuven Goedhartlaan 71;Amstelveen;donderdag 24 mei 2018;Bezorgen;donderdag 24 mei 2018;16:18;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;€ 46,80;;€ 0,00;€ 46,80
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Ananas, Ananas, Kaasmix, Kip;€ 4,50;€ 28,90;;;;

Zeist;Pim Klabbers;06-70672282;PimKlabbers@gustr.com;Arnhemse Bovenweg 91;Zeist;zaterdag 4 februari 2017;Bezorgen;zaterdag 4 februari 2017;18:11;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 14,95;25% korting op je bestelling;€ 3,74;€ 11,21

Venlo;Lindi Rijkse;06-19531608;LindiRijkse@cuvox.de;Karel V-Laan 127;Venlo;zaterdag 25 februari 2017;Bezorgen;zaterdag 25 februari 2017;20:32;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 48,80;2e pizza gratis bij afhalen;€ 0,00;€ 48,80
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Den Helder;Berk Arens;06-39352428;BerkArens@jourrapide.com;Handelskade 99;Den Helder;zaterdag 18 november 2017;Bezorgen;zaterdag 18 november 2017;17:37;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 32,85;;€ 0,00;€ 32,85
;;;;;;;;;;Veggi;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Oss;Tanika Dikken;06-32674483;TanikaDikken@dayrep.com;Burgwal 118;Oss;vrijdag 1 december 2017;Afhalen;vrijdag 1 december 2017;19:37;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 35,85;;€ 0,00;€ 35,85
;;;;;;;;;;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Hoogezand;Gloria Gerding;06-21884987;GloriaGerding@gustr.com;Slengpad 113;Bellingwolde;zaterdag 4 februari 2017;Afhalen;zaterdag 4 februari 2017;17:24;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 17,90;€ 27,85;;€ 0,00;€ 27,85
;;;;;;;;;;Margaritha;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;;;;

Amsterdam Noord;Samora Meulenkamp;06-66281539;SamoraMeulenkamp@superrito.com;Sint Jacobsdwarsstraat 2;Amsterdam;maandag 6 februari 2017;Afhalen;maandag 6 februari 2017;17:58;Veggi;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 10,95;;€ 0,00;€ 10,95

Oosterhout;Dieke Dotinga;06-58320435;DiekeDotinga@teleworm.us;Middachten 57;Oosterhout;donderdag 14 november 2019;Afhalen;donderdag 14 november 2019;20:03;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 35,85;2e pizza gratis bij afhalen;€ 7,95;€ 27,90
;;;;;;;;;;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 23,90;;;;

Leiderdorp;Dajo Westera;06-47547810;DajoWestera@einrot.com;Florijn 59;Leiderdorp;maandag 6 augustus 2018;Bezorgen;maandag 6 augustus 2018;17:51;Americana;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Gehakt, Knoflooksaus Swirl, Knoflooksaus Swirl, Ananas;€ 3,00;€ 12,95;€ 12,95;;€ 0,00;€ 12,95

Rijswijk;Jantje Wigmans;06-16151084;JantjeWigmans@jourrapide.com;Willem Royaardsstraat 177;Rijswijk;zaterdag 27 oktober 2018;Afhalen;zaterdag 27 oktober 2018;20:48;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 9,95;€ 9,95;25% korting op je bestelling;€ 2,49;€ 7,46

Purmerend;Kezban Elskamp;06-16501269;KezbanElskamp@einrot.com;Opperbos 14;Purmerend;maandag 18 februari 2019;Bezorgen;maandag 18 februari 2019;17:02;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 20,90;;€ 0,00;€ 20,90
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Veghel;Metin Schoonderbeek;06-54423504;MetinSchoonderbeek@armyspy.com;Voorhei 70;Veghel;woensdag 18 januari 2017;Afhalen;woensdag 18 januari 2017;16:23;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;;4;;€ 0,00;€ 27,80;€ 27,80;;€ 0,00;€ 27,80

Purmerend;Gülten Spoolder;06-84697836;GultenSpoolder@teleworm.us;Kluutpad 36;Purmerend;maandag 17 september 2018;Bezorgen;maandag 17 september 2018;16:35;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 31,90;€ 95,65;;€ 0,00;€ 95,65
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;2;Verse Tomaat, Gehakt;€ 2,00;€ 35,90;;;;
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;;;;

Nijmegen;Servet Fernandes;06-28857016;ServetFernandes@fleckens.hu;Berg en Dalseweg 77;Nijmegen;woensdag 9 oktober 2019;Afhalen;woensdag 9 oktober 2019;17:05;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;€ 57,70;;€ 0,00;€ 57,70
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;;;;
;;;;;;;;;;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 27,90;;;;

Sneek;Rilana Oosterveer;06-17724501;RilanaOosterveer@armyspy.com;Suffridusstraat 75;Sneek;vrijdag 18 januari 2019;Bezorgen;vrijdag 18 januari 2019;18:08;Chicken Kebab;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 26,90;2e pizza gratis bij afhalen;€ 0,00;€ 26,90
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Roermond;Sean Hoeksema;06-97826183;SeanHoeksema@cuvox.de;Schout Wylerstraat 152;Roermond;zaterdag 24 februari 2018;Afhalen;zaterdag 24 februari 2018;18:14;Americana;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 21,90;;€ 0,00;€ 21,90

Rotterdam Hoogvliet;Anoeshka Groothuizen;06-15538688;AnoeshkaGroothuizen@armyspy.com;Palladiostraat 113;Rotterdam;vrijdag 20 september 2019;Bezorgen;vrijdag 20 september 2019;19:29;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 76,20;;€ 0,00;€ 76,20
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Beenham, Kip;€ 2,50;€ 15,45;;;;
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;

Rotterdam Zuidplein;Reamon Huis in 't Veld;06-13364592;ReamonHuisintVeld@teleworm.us;Nagelkruidstraat 57;Rotterdam;zaterdag 10 juni 2017;Afhalen;zaterdag 10 juni 2017;16:07;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;€ 52,75;25% korting op je bestelling;€ 13,19;€ 39,56
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 9,95;;;;

Maarssen;Brittany Servaas;06-82295914;BrittanyServaas@dayrep.com;Antilopespoor 69;Maarssen;dinsdag 25 september 2018;Afhalen;dinsdag 25 september 2018;16:52;Chicken Kebab;Family XXL Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 12,95;€ 12,95;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 12,95

Sittard;Manouk Mennen;06-27235918;ManoukMennen@rhyta.com;Houbeneindstraat 38;Munstergeleen;zondag 7 mei 2017;Bezorgen;zondag 7 mei 2017;17:04;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 23,90;;€ 0,00;€ 23,90
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Den Helder;Farhana Maijer;06-66019584;FarhanaMaijer@teleworm.us;Doorzwin 5;Den Helder;woensdag 10 oktober 2018;Afhalen;woensdag 10 oktober 2018;16:21;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Schiedam;Aaltjen Steijns;06-89449702;AaltjenSteijns@fleckens.hu;Gordonstraat 114;Schiedam;vrijdag 20 juli 2018;Bezorgen;vrijdag 20 juli 2018;18:47;Funghi;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;€ 47,80;;€ 0,00;€ 47,80
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;

Heerenveen;Zaïd Ponsen;06-77038089;ZaidPonsen@rhyta.com;Luitzen Wagenaarstraat 6;Heerenveen;maandag 1 oktober 2018;Bezorgen;maandag 1 oktober 2018;20:18;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Valkenswaard;Tigo Ravenhorst;06-92960990;TigoRavenhorst@rhyta.com;De Hagard 157;Valkenswaard;zaterdag 14 oktober 2017;Afhalen;zaterdag 14 oktober 2017;17:48;Funghi;Medium Pizza;Tomatensaus;€ 4,95;;2;;€ 0,00;€ 9,90;€ 41,75;;€ 0,00;€ 41,75
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;;1;;€ 0,00;€ 9,95;;;;

Leiderdorp;Wietse van der Tuin;06-43745161;WietsevanderTuin@dayrep.com;Van der Havelaan 81;Leiderdorp;vrijdag 18 oktober 2019;Afhalen;vrijdag 18 oktober 2019;16:46;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 27,90;€ 43,80;25% korting op je bestelling;€ 10,95;€ 32,85
;;;;;;;;;;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;;;;

Naaldwijk;Xanthe van Wijck;06-43539886;XanthevanWijck@gustr.com;Van Deursenstraat 139;Naaldwijk;vrijdag 13 december 2019;Afhalen;vrijdag 13 december 2019;20:42;Tonno;Italian Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 7,95;€ 7,95;;€ 0,00;€ 7,95

Delfzijl;Francesca Geraedts;06-21076021;FrancescaGeraedts@dayrep.com;Kerklaan 47;Meedhuizen;maandag 3 juni 2019;Bezorgen;maandag 3 juni 2019;18:28;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;4;Kaas;€ 1,00;€ 47,80;€ 90,60;;€ 0,00;€ 90,60
;;;;;;;;;;Americana;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Den Bosch;Kristan Lambert;06-77079050;KristanLambert@fleckens.hu;Lupinevallei 27;s-Hertogenbosch;vrijdag 26 oktober 2018;Afhalen;vrijdag 26 oktober 2018;19:43;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 17,90;€ 23,30;3e pizza gratis bij bezorgen;€ 0,00;€ 23,30
;;;;;;;;;;Cinnabites;;;€ 1,95; ; 2;;;€ 3,90;;;;
;;;;;;;;;;0.33 liter Nestea Sparkling Lemon;;;€ 1,50; ; 1;;;€ 1,50;;;;

Waalwijk;Matisse Wielens;06-78015848;MatisseWielens@cuvox.de;Kerkstraat 31;Waspik;vrijdag 9 februari 2018;Bezorgen;vrijdag 9 februari 2018;18:32;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;€ 2,00;4;;€ 0,00;€ 43,80;€ 53,75;;€ 0,00;€ 53,75
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Almelo;Ayfer Holland;06-80337033;AyferHolland@teleworm.us;Catharina van Renneslaan 133;Almelo;donderdag 10 januari 2019;Afhalen;donderdag 10 januari 2019;16:43;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 10,95;;€ 0,00;€ 10,95

Middelburg;Rochus Doomen;06-69388937;RochusDoomen@superrito.com;Klaverakker 53;Arnemuiden;dinsdag 7 februari 2017;Afhalen;dinsdag 7 februari 2017;16:55;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Veldhoven;Nyah Crum;06-68221145;NyahCrum@rhyta.com;Tureluur 9;Veldhoven;donderdag 14 juni 2018;Bezorgen;donderdag 14 juni 2018;16:55;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 58,70;;€ 0,00;€ 58,70
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 35,80;;;;

Vlissingen;Jannik Trouwborst;06-42379926;JannikTrouwborst@fleckens.hu;Kanariesprenk 109;Vlissingen;zondag 7 januari 2018;Bezorgen;zondag 7 januari 2018;18:38;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 39,80;€ 53,75;;€ 0,00;€ 53,75
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;

Dordrecht Bamendaweg;Hillebrand Aukes;06-55483634;HillebrandAukes@einrot.com;Beukenlaan 110;Dordrecht;vrijdag 14 september 2018;Afhalen;vrijdag 14 september 2018;17:14;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 25,90;€ 37,85;;€ 0,00;€ 37,85
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

Groningen Paterswoldseweg;Albert Saes;06-79152303;AlbertSaes@dayrep.com;Westerhavenstraat 4;Groningen;zondag 29 december 2019;Afhalen;zondag 29 december 2019;19:32;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;4;;€ 0,00;€ 55,80;€ 123,45;;€ 0,00;€ 123,45
;;;;;;;;;;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;;3;;€ 0,00;€ 29,85;;;;

Purmerend;Bertine Reijenga;06-96200221;BertineReijenga@superrito.com;Brahmsstraat 75;Purmerend;vrijdag 1 november 2019;Afhalen;vrijdag 1 november 2019;17:37;Deluxe;Large Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 43,80;€ 61,70;25% korting op je bestelling;€ 15,43;€ 46,28
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 17,90;;;;

